database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	id	blank	standard	1_Location_Staakov_(n.7)_Genotype_Bojos_Field_A	2_Location_Staakov_(n.7)_Genotype_Kangoo_Field_B	3_Location_Kujavy_(n.12)_Genotype_Kangoo_Field_A	4_Location_Staakov_(n.7)_Genotype_Kangoo_Field_B	5_Location_Kujavy_(n.12)_Genotype_Bojos_Field_A	6_Location_Kujavy_(n.12)_Genotype_Sebastian_Field_B	7_Location_Staakov_(n.7)_Genotype_Bojos_Field_A	8_Location_Kujavy_(n.12)_Genotype_Sebastian_Field_B	9_Location_Staakov_(n.7)_Genotype_Sebastian_Field_A	10_Location_Lipa_(n.4)_Genotype_Sebastian_Field_B	11_Location_Kujavy_(n.12)_Genotype_Bojos_Field_A	12_Location_Staakov_(n.7)_Genotype_Sebastian_Field_B	13_Location_Kujavy_(n.12)_Genotype_Kangoo_Field_A	14_Location_Lipa_(n.4)_Genotype_Sebastian_Field_B	15_Location_Lipa_(n.4)_Genotype_Bojos_Field_A	16_Location_Lipa_(n.4)_Genotype_Kangoo_Field_B	17_Location_Lipa_(n.4)_Genotype_Kangoo_Field_A	18_Location_Vysoka¡_(n.6)_Genotype_Sebastian_Field_B	19_Location_Lipa_(n.4)_Genotype_Bojos_Field_A	20_Location_Vysoka¡_(n.6)_Genotype_Sebastian_Field_B	21_Location_Vysoka¡_(n.6)_Genotype_Bojos_Field_A	22_Location_Vysoka¡_(n.6)_Genotype_Kangoo_Field_B	23_Location_Vysoka¡_(n.6)_Genotype_Bojos_Field_A	24_Location_Vysoka¡_(n.6)_Genotype_Kangoo_Field_B	25_Location_Chrlice_(n.10)_Genotype_Sebastian_Field_A	26_Location_Chrastava_(n.2)_Genotype_Kangoo_Field_A	27_Location_Chrastava_(n.2)_Genotype_Bojos_Field_A	28_Location_Chrastava_(n.2)_Genotype_Sebastian_Field_A	29_Location_Chrastava_(n.2)_Genotype_Bojos_Field_B	30_Location_Chrastava_(n.2)_Genotype_Sebastian_Field_B	31_Location_Chrastava_(n.2)_Genotype_Kangoo_Field_B	32_Location_Krasne udoli_(n.8)_Genotype_Sebastian_Field_A	33_Location_Krasne udoli_(n.8)_Genotype_Kangoo_Field_A	34_Location_Krasne udoli_(n.8)_Genotype_Bojos_Field_B	35_Location_Krasne udoli_(n.8)_Genotype_Kangoo_Field_B	36_Location_Krasne udoli_(n.8)_Genotype_Bojos_Field_A	37_Location_Krasne udoli_(n.8)_Genotype_Sebastian_Field_B	38_Location_Zatec_(n.3)_Genotype_Bojos_Field_A	39_Location_Zatec_(n.3)_Genotype_Kangoo_Field_A	40_Location_Zatec_(n.3)_Genotype_Sebastian_Field_A	41_Location_Zatec_(n.3)_Genotype_Bojos_Field_B	42_Location_Zatec_(n.3)_Genotype_Sebastian_Field_B	43_Location_Zatec_(n.3)_Genotype_Kangoo_Field_B	44_Location_Tursko_(n.1)_Genotype_Bojos_Field_A	45_Location_Tursko_(n.1)_Genotype_Sebastian_Field_A	46_Location_Tursko_(n.1)_Genotype_Kangoo_Field_A	47_Location_Tursko_(n.1)_Genotype_Sebastian_Field_B	48_Location_Tursko_(n.1)_Genotype_Bojos_Field_B	49_Location_Tursko_(n.1)_Genotype_Kangoo_Field_B	50_Location_Chrlice_(n.10)_Genotype_Kangoo_Field_B	51_Location_Chrlice_(n.10)_Genotype_Sebastian_Field_A	52_Location_Chrlice_(n.10)_Genotype_Bojos_Field_B	53_Location_Chrlice_(n.10)_Genotype_Kangoo_Field_A	54_Location_Chrlice_(n.10)_Genotype_Bojos_Field_A	55_Location_Uhersky ostroh_(n.11)_Genotype_Kangoo_Field_A	56_Location_Uhersky ostroh_(n.11)_Genotype_Kangoo_Field_B	57_Location_Uhersky ostroh_(n.11)_Genotype_Bojos_Field_A	58_Location_Uhersky ostroh_(n.11)_Genotype_Sebastian_Field_A	59_Location_Uhersky ostroh_(n.11)_Genotype_Sebastian_Field_B	60_Location_Uhersky ostroh_(n.11)_Genotype_Bojos_Field_B	61_Location_Verovany_(n.9)_Genotype_Kangoo_Field_A	62_Location_Verovany_(n.9)_Genotype_Sebastian_Field_A	63_Location_Verovany_(n.9)_Genotype_Bojos_Field_B	64_Location_Verovany_(n.9)_Genotype_Kangoo_Field_B	65_Location_Verovany_(n.9)_Genotype_Sebastian_Field_B	66_Location_Verovany_(n.9)_Genotype_Bojos_Field_A	67_Location_Caslav_(n.5)_Genotype_Sebastian_Field_A	68_Location_Caslav_(n.5)_Genotype_Bojos_Field_B	69_Location_Caslav_(n.5)_Genotype_Kangoo_Field_A	70_Location_Caslav_(n.5)_Genotype_Bojos_Field_A	71_Location_Caslav_(n.5)_Genotype_Kangoo_Field_B	72_Location_Caslav_(n.5)_Genotype_Sebastian_Field_B
CHEBI:17992	C12H22O11	OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1	Sucrose	918.43188		TMS	1	27.901	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.5				Sucrose, 8TMS	17053390.98	80708	9660042999	9075634642	13822549870	16982633914	11952517311	12957073356	7424159492	10526806976	10573158690	12163938100	11662636096	22618336829	14653814321	26651324144	29284606794	16083458199	18425276453	20326465097	20768948741	16653248875	19121951191	11117783635	30380470210	10601515425	26471632810	27668085923	31007603273	27289692027	28327561936	27666475745	31648048231	28548444885	25014689433	13560075993	18877871611	161416	27884049783	23727496897	1.83E+13	27387681649	1.01E+12	10746489789	29800895824	9.09E+12	6294357981	26028887102	8.74E+12	18579042369	21906169514	9957013925	13560075993	2394401413	25250814476	24635092636	32814311267	26112712842	26705462404	28250116456	23348553589	24592109732	26320684638	24017993339	21235635464	25273270028	30516658417	21105420224	24929413869	20321515574	23961239165	20633890803	24909020064	4581318725
CHEBI:30797	C4H6O5	O[C@@H](CC(O)=O)C(O)=O	InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/t2-/m0/s1	L-Malic acid	350.13956		TMS	1	15.738	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.2				L-Malic acid, 3TMS	80708	80708	313523229.9	292566888.1	272823210.6	265348015.6	255570301.3	287519059.7	232282477	268187126.1	325929834.7	353221604	225710952	350101573.2	288860971.7	381542826.7	351283754	331647422.3	304206026.7	224672625.8	278420119.4	219728963.4	179560073.9	191334675	227773044.3	180565541.8	292844239.9	299970883.6	253594122.1	345028156.7	286288745.2	354764489.2	307651091.2	266854532.2	148101663.3	380328989.4	249316821.6	80708	225683861.5	197465393.5	80708	295879251.7	4992405227	13002373.25	229378385.5	80708	80708	242016749.5	80708	224206490.4	858564339	80708	380328989.4	80708	264736473.8	229846091.7	294091576.2	294105072.5	272783009.5	325852396.4	253957464.3	299539605.6	183263437.7	256733199.9	219224242.3	245937781.9	338376218.3	207156660.3	331683968.6	224008498.1	238583004.4	237967588.3	252500751.2	80708
CHEBI:17306	C12H22O11	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	Maltose	947.45843		TMS, MOX	1	28.718	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.4				Maltose, 8TMS 1MOX isomer 1	174909942.6	80708	1525147119	1073949138	1331063223	1264284340	1678083181	1890677242	1206395501	1753546257	1643972711	1751337973	1509517674	1362163442	1123762881	1602616209	1442921568	1325953030	1761675293	1537672451	1340151269	1205812901	1248061224	797840495.2	2070011692	785542310	1839766895	1534748885	1828305600	1356487563	1723390174	1547534037	1213274776	1269875025	953684253.6	1728616448	1208452642	19218152905	1246296023	1057702715	6.35E+11	1236861452	42136258577	74392983149	555413207.2	3.78E+11	60283703706	510803024.2	3.69E+11	1051940236	1.70E+11	77595424830	1728616448	18596003694	798124636.9	1204699162	887715083.1	923735979.9	1336724631	1215908733	1275141616	956544988.1	669887899.8	1100845551	1003796187	596865235.3	2029925339	1286474415	1394743098	1463443543	1080833219	1163894277	887037534.2	21785792417
CHEBI:15824	C6H12O6			D-Fructose	569.28702		TMS, MOX	1	20.533	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.4				D-Fructose, 5TMS 1MOX isomer 1	80708	80708	3646251201	4842219719	6101780952	4090173333	4602541242	6002876358	3656779617	5763633570	4490155627	4623148115	4126121793	3398611401	5710194947	4105091812	3637571635	6561574283	6184839096	3524323809	2888824688	3187635236	3355497505	4193333931	3776289030	4210342952	3400634927	6874500270	3236863650	5144037957	3273654783	3554389646	4067821496	3864417468	3469704155	4559694260	5600780515	9.74E+11	2758999238	2015370137	1.40E+12	2752941891	92571379191	4.74E+11	1867981287	5.78E+11	1.05E+12	2928274894	8.10E+11	2441081588	1.33E+12	1.46E+12	4559694260	6.38E+11	3477442885	1824211473	4501138198	3771795349	2424048841	4406065204	2004363089	2477660527	2164134659	2851351310	2754919555	3749093729	3939846346	2623686414	3611527271	2171828156	3059518749	2131481020	4055655471	1.15E+12
CHEBI:15824	C6H12O6			D-Fructose	569.28702		TMS, MOX	1	20.642	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.3				D-Fructose, 5TMS 1MOX isomer 2	80708	80708	2770980394	3736361467	4609638696	3123710180	3586052590	4604793533	2781153656	4374672109	3430592747	3479232142	3067366136	2547376411	4234941698	3070800743	2777672724	4992892366	4643439834	2683195793	2257652611	2457754874	2643754032	3291468654	2797034456	3406021958	2537416904	5476089433	2752845882	4150012721	2790740035	2894687385	3295785629	3058005350	2734278861	3472741963	4116850921	59621044203	2858632406	1863435982	1.63E+12	2620411758	80938501711	60490473054	1861673777	6.56E+11	71258099894	2276599679	8.04E+11	1993646471	75099615196	73109493128	3472741963	52273294861	2777832552	1519693001	3639491821	3111173653	2070026635	3533762911	1657012123	2246980520	2168017229	2522053682	2380182702	3061236397	3077443774	2155918144	2953019483	1850982550	2611578392	1828782854	3436237682	78367487626
CHEBI:30769	C6H8O7	OC(=O)CC(O)(CC(O)=O)C(O)=O	InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)	Citric acid	480.18456		TMS	1	19.93	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.1				Citric acid, 4TMS	80708	80708	55893046.96	57200651.8	49081913.51	45942351.69	41023441.15	55069802.41	45935002	57070369.17	76137328.37	71620347.87	38452273.12	70330942.75	47625299.07	62827739.16	60085279.97	59934032.25	50597968.21	55399272.41	51823451.77	50040505.73	44375436.1	43510182.43	46487719.82	45733383.63	71234298.96	55770580.13	45348427.05	55900948.71	49023534.88	64333347.08	59867411.8	53078221.2	49256189.01	77503488.2	57088508.97	90225442.36	62488476.43	38649587.92	791809016.1	72376219.43	73216768.87	80708	53196859.28	648149294	59433535.49	57340695.31	682629816.1	46384666.27	69275696.46	80708	77503488.2	80708	57519781.26	48148336.71	57418821.12	60747872.45	56906254.34	68002329.33	52307295.21	64196225.59	45028942.26	62031229.36	39517188.38	51157797.15	66338754.81	44058713.43	88976482.55	53636241.45	66283303.03	54928632.68	65200621.02	80708
CHEBI:17306	C12H22O11	OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1	Maltose	947.45843		TMS, MOX	1	28.933	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.2				Maltose, 8TMS 1MOX isomer 2	31847763.43	80708	486339087.2	329375528.7	549263607.7	419555727.9	561190654.7	837703569.6	425366728	848777988.5	592579373.8	577530915.6	453870528.2	436878266.1	421003759.6	491955300.1	540148958.4	450734847.8	582317803.6	905126472.3	466035210.5	440557158	461322797.3	260786922.9	688387145.1	297377780.6	618918502.6	697528939.8	626731251.4	442701558.3	639003902.5	521159794.5	427302575.2	474443233.4	397447473.3	540665063.7	399692895.1	16182981294	393060034.3	383304004.4	2.50E+11	518390704.9	15521732435	8100618462	182915553.2	1.33E+11	30969781009	209698065.6	1.89E+11	374803533.7	34695525295	80708	540665063.7	25837934887	297597450.9	416579988.9	331306913.8	337205356	486500890.2	451536050.7	468505483.3	358225717.5	217317847.6	424422013.2	372197265.7	160298603.4	696123732	432368096.6	494772996	566650641.9	447746021	428647150.9	351779817.6	29286088593
CHEBI:26078	H3O4P	[H]OP(=O)(O[H])O[H]	InChI=1S/H3O4P/c1-5(2,3)4/h(H3,1,2,3,4)	Phosphoric acid	314.09493		TMS	1	12.361	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98				Phosphoric acid, 3TMS	80708	80708	11917488.74	24872821.22	19555290.36	19510141.58	16432916.49	13229727.62	12405289	16965148.2	19530272.05	11119630.15	14045812.79	23380710.87	16002683.19	14755289.69	11375372.98	11662115.2	13201411.11	16014681.91	12463795.29	22105043.58	13810807.55	22550900.37	14175414.39	20848810.18	13277823.54	20586925.52	16518779.83	15726442.68	16981727.85	16426219.04	24118222.9	18982667.34	19117462.58	21209497.18	29798626.95	35174265.95	18528834.06	14421628.95	80708	15294934.56	269412296.5	80708	14465974.44	80708	80708	18108425.65	80708	15935898.16	20497990.75	83599151.71	21209497.18	123886074.1	16551407.84	13245091.95	22057634.49	22000894.35	19045600.92	20092057.12	18158760.81	16444825.92	16490002.87	267.2521126	19036757.19	21636016.36	18812114.29	19909911.72	18737540.51	17846552.97	18441763.6	16894311.97	22847302.99	268959510.1
CHEBI:17268	C6H12O6	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-1-2(8)4(10)6(12)5(11)3(1)9/h1-12H/t1-,2-,3-,4+,5-,6-	myo-Inositol	612.3		TMS	1	22.908	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.8				myo-Inositol, 6TMS	80708	80708	15814066.08	13271445.28	16063974.37	10085459.08	18166117.12	12957997.69	13488050	12560241.69	9864318.863	13263227.57	14228298.31	9611456.309	14113846.98	11582763.92	14808670.01	14231532.96	12533024.15	8182288.859	13831921.47	7192437.55	11894300.17	10105358.65	11960538.12	10280611.08	10992280.32	15652026.15	14441328.66	13756235.54	15832439.2	13380844.34	14317567.78	8946839.15	9918753.974	13195677.49	11890627.14	63091468.23	11705292.36	11708608.04	10087407866	14125565.43	483599750.6	80230040.94	10334040.35	5029849814	54860082.16	14289763.07	4963600979	13544280.96	240506771.3	165022373.3	13195677.49	129885290.3	12619583.74	13056097.73	16241225.61	16015416.52	171.6717127	12736397.98	14961473.76	290.0732029	10251381.55	8744893.211	12863657.16	11162191.41	9830512.335	14744689.82	12682313.74	15981363.82	14114764.18	14444632.31	14440843.66	98776578.6
CHEBI:16024	C6H12O6			D-Mannose	569.28702		TMS, MOX	1	20.702	NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/4513	Hordeum vulgare	NIST	2014	MSI:1		CompoundDiscoverer 3.3	98.1				D-Mannose, 5TMS 1MOX isomer 1	2859254.076	80708	77014151.88	63920609.06	64510748.35	48819320.91	77834618.96	62733416.68	85078438	69771327.02	52226524.18	38788491.51	61071332.94	53951385.4	55249263.84	55623033.55	54441270.61	52813365.85	52694465.11	55351634.67	71908953.33	49980266.86	65396007.34	99242748.73	53063661.98	96880660.84	67740848.85	88698009.35	85644682.49	97351000.42	76140492.98	194729800.2	196653935.4	58756012.76	62437347.98	179176460.5	161590132.1	6.32E+11	77310877.22	62270071.15	41962337004	182216408.5	4799477474	3.94E+11	164841515.2	51788858045	9.54E+11	58624732.79	51106629059	69718928.15	1.23E+12	8.71E+11	179176460.5	5.43E+11	167704461.3	145052575.8	191996258.2	180470774.9	198150937.3	189977076.7	160083487.1	172205208.2	154616795.4	140388841.1	166205037.3	171688816.3	162571448.7	198439534.5	223745649.4	193882737.6	218164794	190320070.5	221634123.3	6.12E+11
